# alfa=-1 beta=3 gamma=1.5 omega=0.6 k=0
1.21 -0.826941 0.237214 0.0971685 -0.712415
1.22 -0.825964 0.230054 0.0946031 -0.710105
1.23 -0.825013 0.222917 0.0920496 -0.707835
1.24 -0.824088 0.215803 0.0895098 -0.705604
1.25 -0.823189 0.208712 0.0869856 -0.703416
1.26 -0.822314 0.201642 0.0844787 -0.701273
1.27 -0.821465 0.194594 0.0819911 -0.699175
1.28 -0.820641 0.187568 0.0795243 -0.697124
1.29 -0.819842 0.180561 0.0770803 -0.695122
1.3 -0.819067 0.173575 0.0746606 -0.693171
1.31 -0.818317 0.166609 0.072267 -0.691272
1.32 -0.817591 0.159661 0.0699012 -0.689426
1.33 -0.816888 0.152733 0.0675648 -0.687634
1.34 -0.816209 0.145822 0.0652593 -0.685897
1.35 -0.815553 0.138928 0.0629865 -0.684218
1.36 -0.81492 0.132052 0.0607479 -0.682596
1.37 -0.81431 0.125192 0.058545 -0.681032
1.38 -0.813721 0.118347 0.0563793 -0.679529
1.39 -0.813155 0.111518 0.0542524 -0.678086
1.4 -0.812609 0.104703 0.0521656 -0.676704
1.41 -0.812085 0.0979019 0.0501204 -0.675384
1.42 -0.811581 0.0911142 0.0481183 -0.674127
1.43 -0.811098 0.0843391 0.0461606 -0.672933
1.44 -0.810634 0.077576 0.0442486 -0.671803
1.45 -0.810189 0.0708243 0.0423836 -0.670738
1.46 -0.809763 0.0640832 0.040567 -0.669737
1.47 -0.809356 0.0573523 0.0388 -0.668802
1.48 -0.808966 0.0506307 0.0370839 -0.667933
1.49 -0.808593 0.0439179 0.0354197 -0.667129
1.5 -0.808237 0.0372131 0.0338087 -0.666392
1.51 -0.807897 0.0305157 0.0322521 -0.665722
1.52 -0.807573 0.0238251 0.0307509 -0.665118
1.53 -0.807264 0.0171406 0.0293061 -0.664581
1.54 -0.806969 0.0104614 0.0279189 -0.664111
1.55 -0.806689 0.00378702 0.0265902 -0.663707
1.56 -0.806422 -0.00288335 0.025321 -0.663371
1.57 -0.806167 -0.00955034 0.0241122 -0.663101
1.58 -0.805925 -0.0162146 0.0229647 -0.662899
1.59 -0.805694 -0.0228769 0.0218795 -0.662762
1.6 -0.805474 -0.0295377 0.0208572 -0.662693
1.61 -0.805265 -0.0361979 0.0198988 -0.662689
1.62 -0.805065 -0.042858 0.019005 -0.662751
1.63 -0.804874 -0.0495188 0.0181765 -0.662878
1.64 -0.804691 -0.0561808 0.0174141 -0.663071
1.65 -0.804516 -0.0628448 0.0167183 -0.663328
1.66 -0.804348 -0.0695114 0.0160898 -0.663649
1.67 -0.804186 -0.0761811 0.0155292 -0.664034
1.68 -0.80403 -0.0828548 0.015037 -0.664482
1.69 -0.803879 -0.0895329 0.0146138 -0.664992
1.7 -0.803732 -0.0962162 0.0142599 -0.665564
1.71 -0.803589 -0.102905 0.013976 -0.666197
1.72 -0.803448 -0.109601 0.0137623 -0.66689
1.73 -0.80331 -0.116303 0.0136193 -0.667643
1.74 -0.803173 -0.123013 0.0135472 -0.668454
1.75 -0.803037 -0.129731 0.0135464 -0.669323
1.76 -0.802901 -0.136458 0.013617 -0.670248
1.77 -0.802764 -0.143194 0.0137595 -0.671229
1.78 -0.802626 -0.14994 0.0139738 -0.672264
1.79 -0.802485 -0.156696 0.0142601 -0.673352
1.8 -0.802342 -0.163464 0.0146187 -0.674493
1.81 -0.802195 -0.170242 0.0150494 -0.675685
1.82 -0.802044 -0.177033 0.0155524 -0.676926
1.83 -0.801887 -0.183836 0.0161277 -0.678215
1.84 -0.801725 -0.190652 0.0167751 -0.679551
1.85 -0.801557 -0.197482 0.0174947 -0.680932
1.86 -0.801381 -0.204326 0.0182862 -0.682357
1.87 -0.801197 -0.211183 0.0191496 -0.683824
1.88 -0.801005 -0.218056 0.0200847 -0.685331
1.89 -0.800803 -0.224944 0.0210912 -0.686877
1.9 -0.800591 -0.231847 0.0221688 -0.688459
1.91 -0.800368 -0.238766 0.0233173 -0.690077
1.92 -0.800134 -0.245701 0.0245363 -0.691727
1.93 -0.799887 -0.252653 0.0258254 -0.693408
1.94 -0.799628 -0.259622 0.0271843 -0.695118
1.95 -0.799354 -0.266608 0.0286125 -0.696855
1.96 -0.799067 -0.273612 0.0301095 -0.698616
1.97 -0.798764 -0.280633 0.0316748 -0.700399
1.98 -0.798446 -0.287672 0.0333079 -0.702201
1.99 -0.798111 -0.294729 0.0350081 -0.704021
2 -0.797759 -0.301805 0.0367749 -0.705855
2.01 -0.79739 -0.308899 0.0386077 -0.707701
2.02 -0.797002 -0.316011 0.0405057 -0.709556
2.03 -0.796595 -0.323142 0.0424682 -0.711417
2.04 -0.796168 -0.330292 0.0444946 -0.713282
2.05 -0.795721 -0.337461 0.046584 -0.715147
2.06 -0.795252 -0.344648 0.0487357 -0.717009
2.07 -0.794763 -0.351854 0.0509489 -0.718865
2.08 -0.794251 -0.359079 0.0532226 -0.720712
2.09 -0.793716 -0.366322 0.055556 -0.722547
2.1 -0.793157 -0.373584 0.0579483 -0.724366
2.11 -0.792575 -0.380864 0.0603984 -0.726165
2.12 -0.791968 -0.388162 0.0629055 -0.727941
2.13 -0.791336 -0.395478 0.0654685 -0.72969
2.14 -0.790678 -0.402812 0.0680865 -0.731408
2.15 -0.789993 -0.410162 0.0707585 -0.733092
2.16 -0.789282 -0.41753 0.0734834 -0.734737
2.17 -0.788544 -0.424914 0.0762601 -0.736339
2.18 -0.787777 -0.432315 0.0790877 -0.737894
2.19 -0.786983 -0.43973 0.0819649 -0.739398
2.2 -0.786159 -0.447162 0.0848907 -0.740846
2.21 -0.785306 -0.454607 0.0878639 -0.742234
2.22 -0.784423 -0.462067 0.0908835 -0.743558
2.23 -0.783509 -0.46954 0.0939482 -0.744811
2.24 -0.782565 -0.477025 0.097057 -0.745991
2.25 -0.78159 -0.484522 0.100209 -0.747092
2.26 -0.780582 -0.492031 0.103402 -0.748108
2.27 -0.779543 -0.499549 0.106635 -0.749035
2.28 -0.778472 -0.507077 0.109908 -0.749869
2.29 -0.777367 -0.514614 0.113219 -0.750602
2.3 -0.776229 -0.522157 0.116567 -0.751232
2.31 -0.775058 -0.529707 0.119951 -0.751751
2.32 -0.773852 -0.537263 0.123368 -0.752155
2.33 -0.772612 -0.544822 0.126819 -0.752437
2.34 -0.771338 -0.552384 0.130302 -0.752594
2.35 -0.770028 -0.559948 0.133816 -0.752618
2.36 -0.768683 -0.567512 0.137359 -0.752504
2.37 -0.767303 -0.575074 0.140931 -0.752247
2.38 -0.765886 -0.582635 0.144529 -0.751841
2.39 -0.764434 -0.590191 0.148154 -0.75128
2.4 -0.762945 -0.597741 0.151803 -0.750557
2.41 -0.761419 -0.605284 0.155476 -0.749668
2.42 -0.759857 -0.612819 0.159171 -0.748606
2.43 -0.758257 -0.620342 0.162887 -0.747366
2.44 -0.75662 -0.627854 0.166623 -0.745941
2.45 -0.754945 -0.63535 0.170378 -0.744325
2.46 -0.753233 -0.642831 0.174151 -0.742513
2.47 -0.751483 -0.650293 0.177941 -0.740499
2.48 -0.749694 -0.657735 0.181746 -0.738277
2.49 -0.747868 -0.665155 0.185565 -0.735842
2.5 -0.746003 -0.672551 0.189398 -0.733186
2.51 -0.744099 -0.679919 0.193243 -0.730305
2.52 -0.742157 -0.687259 0.197099 -0.727194
2.53 -0.740176 -0.694567 0.200966 -0.723845
2.54 -0.738157 -0.701842 0.204842 -0.720255
2.55 -0.736098 -0.709081 0.208727 -0.716418
2.56 -0.734 -0.716281 0.212618 -0.712328
2.57 -0.731863 -0.72344 0.216517 -0.707981
2.58 -0.729687 -0.730555 0.220421 -0.703371
2.59 -0.727472 -0.737624 0.224329 -0.698493
