# alfa=-1 beta=3 gamma=1.5 omega=0.6 k=0
4.86 1.24913 0.0284085 1.39709 0.578081
4.87 1.26317 0.0342183 1.36413 0.578104
4.88 1.27688 0.0400284 1.32935 0.578184
4.89 1.29024 0.0458392 1.29275 0.578322
4.9 1.30324 0.0516515 1.25436 0.578517
4.91 1.31584 0.0574656 1.21417 0.578768
4.92 1.32804 0.0632824 1.17221 0.579076
4.93 1.33983 0.0691022 1.12851 0.579439
4.94 1.35117 0.0749256 1.08309 0.579858
4.95 1.36205 0.0807533 1.036 0.580333
4.96 1.37246 0.0865857 0.987273 0.580861
4.97 1.38239 0.0924235 0.936967 0.581444
4.98 1.3918 0.0982671 0.885135 0.582081
4.99 1.4007 0.104117 0.831839 0.58277
5 1.40906 0.109974 0.777145 0.583512
5.01 1.41687 0.115838 0.721129 0.584306
5.02 1.42412 0.121711 0.663868 0.585151
5.03 1.43079 0.127592 0.605447 0.586047
5.04 1.43687 0.133482 0.545956 0.586992
5.05 1.44236 0.139381 0.485488 0.587986
5.06 1.44724 0.14529 0.424143 0.589029
5.07 1.4515 0.15121 0.362022 0.590119
5.08 1.45514 0.157141 0.299231 0.591255
5.09 1.45815 0.163083 0.235881 0.592437
5.1 1.46052 0.169037 0.172082 0.593664
5.11 1.46225 0.175004 0.10795 0.594934
5.12 1.46333 0.180983 0.0436006 0.596247
5.13 1.46377 0.186975 -0.02085 0.597601
5.14 1.46356 0.192981 -0.0852837 0.598996
5.15 1.4627 0.199001 -0.149583 0.60043
5.16 1.4612 0.205036 -0.21363 0.601902
5.17 1.45905 0.211085 -0.277308 0.603411
5.18 1.45627 0.217149 -0.340504 0.604956
5.19 1.45285 0.223229 -0.403103 0.606535
5.2 1.44879 0.229325 -0.464998 0.608146
5.21 1.44412 0.235437 -0.526079 0.609789
5.22 1.43883 0.241565 -0.586244 0.611461
5.23 1.43294 0.247711 -0.645393 0.613162
